Carimbo de data/hora,"Considerando o que foi apresentado, você concorda em participar de forma voluntária desta pesquisa?",Você se formou em algum curso PRESENCIAL relacionado a computação?,1. Qual seu sexo?,2. Idade atual,3. Você se auto declara como...,4. Em área(s) você atua hoje?,5. A instituição de ensino superior em que você estudou era...,6. Você concluiu um curso superior presencial de qual tipo?,7. Informe seu curso:,8. Em que turno aconteciam as aulas?,9. Quanto tempo você levou para concluir seu curso (aproximadamente)?,"10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Infraestrutura do seu curso (laboratórios, salas de aula, etc).]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Professores do seu curso]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Conteúdos das disciplinas ofertadas]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Amizades e Networking (oportunidade de fazer novos contatos)]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Trabalhos, atividades e projetos realizados]",11. Qual/Quais dos seguintes auxílios financeiros ou remunerações você recebeu durante a graduação?,12. Selecione as atividades extracurriculares das quais você participou durante sua graduação,13. Quanto tempo você levava para ir de onde você morava até a universidade/faculdade (em média)?,"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [A estrutura do curso (laboratórios, salas de aula, disciplinas).]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Morar próximo da universidade.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bom relacionamento com os colegas do curso.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bons mentores, orientadores ou monitores.]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bons professores.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Trabalhos em grupo.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Meu desempenho no curso.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Participação em projetos de pesquisa, desenvolvimento, ensino, extensão ou estágios.]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bolsas ou auxílios.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Desejo de possuir um diploma universitário.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Influência/Inspiração de profissionais da área.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Possibilidades de morar no exterior.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Mercado de trabalho promissor.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Possibilidade de trabalho remoto.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Apoio de familiares, colegas, professores, amigos, comunidades da área de TI, etc.]","15. Algum outro fator lhe influenciou a concluir seu curso? Se sim, qual ou quais?",16. Que ações você acha que poderiam ser realizadas em cursos superiores de computação para estimular mais alunos a concluírem seus cursos?,17. Em qual estado se localiza a faculdade/universidade/instituto onde você se graduou?,18. Em qual cidade se localiza a faculdade/universidade/instituto onde você se graduou?
30/07/2022 10:04:01,Concordo,Sim,Feminino,24,Branco(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",4 anos e meio,4 - Bom,5 - Excelente,4 - Bom,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria, PET",De 30 minutos a 1h,Muito importante,Sem importância,Importante,Pouco importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Pouco importante,Muito importante,,"Mais projetos de pesquisa e desenvolvimento com bolsa, que podem auxiliar principalmente as pessoas que têm mais dificuldade em manter os custos da graduação, além de dar um direcionamento melhor pra pessoa entender se é realmente a área que ela quer seguir",Paraíba,Campina Grande
31/07/2022 01:55:31,Concordo,Sim,Masculino,45,Branco(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Analista de TI",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,3 - Mediano(a),4 - Bom,3 - Mediano(a),3 - Mediano(a),Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato),Estágio,De 30 minutos a 1h,Muito importante,Importante,Importante,Muito importante,Muito importante,Importante,Muito importante,Importante,Importante,Muito importante,Importante,Pouco importante,Muito importante,Sem importância,Muito importante,,,Paraíba,Campina Grande
01/08/2022 10:51:01,Concordo,Sim,Masculino,39,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico",Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",5 anos e meio,3 - Mediano(a),4 - Bom,4 - Bom,4 - Bom,4 - Bom,Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato),"Projeto de Extensão, Estágio",Menos de 30 minutos,Pouco importante,Sem importância,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Muito importante,Muito importante,Pouco importante,Importante,Sem importância,Importante,Gostar de computação,Os cursos superiores de computação poderiam ser mais próximos do mercado de TI,Paraíba,Rio Tinto
01/08/2022 10:57:37,Concordo,Sim,Masculino,29,Branco(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",4 anos e meio,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Estágio, Fui aluno apoiador durante 2 anos",De 30 minutos a 1h,Muito importante,Sem importância,Importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Importante,Importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,,"A faculdade tivesse mais parcerias com as empresas, para que os alunos ficasse mais preparado para o mercado de trabalho ",Paraíba,Rio tinto
01/08/2022 11:04:30,Concordo,Sim,Masculino,34,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico",Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",5 anos e meio,4 - Bom,4 - Bom,4 - Bom,3 - Mediano(a),4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)",Projeto de Extensão,Menos de 30 minutos,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Importante,Afinidade em resolução de problemas,"Mais acessos a estágios com formato do mercado, parcerias com empresas.",Paraíba,Rio Tinto
01/08/2022 11:47:34,Concordo,Sim,Masculino,27,Branco(a),Qualidade de Software/Testes,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",4 anos,4 - Bom,5 - Excelente,5 - Excelente,4 - Bom,4 - Bom,"Não recebi nenhuma bolsa, remuneração ou auxílio durante a graduação",Projeto de Pesquisa,Menos de 30 minutos,Pouco importante,Pouco importante,Muito importante,Muito importante,Importante,Importante,Muito importante,Importante,Muito importante,Muito importante,Pouco importante,Pouco importante,Muito importante,Pouco importante,Muito importante,"Vontade de entrar no mercado de trabalho o quanto antes, além da busca por ter uma renda financeira.","Palestras com pessoas que estão no mercado, para apresentar a importância da formação para o mercado e sua área.",Paraíba,Rio Tinto
01/08/2022 15:24:52,Concordo,Sim,Feminino,34,Negro(a),"Atuo na área estratégica de Tech em Talent Acquisition, construindo a área e focando em novas tecnologias",Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,5 - Excelente,4 - Bom,4 - Bom,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Projeto de Extensão, Estágio, Residência Pedagógica/PIBID/Prolicen","Precisei mudar para a cidade que estudava. Com isso, levava menos de 30 minutos do AP até a universidade ",Muito importante,Muito importante,Importante,Importante,Muito importante,Pouco importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Sem importância,Muito importante,Pouco importante,Importante,,"Aulas cada vez mais práticas, poder oferecer participação em projetos a um número maior de alunos, atividades remuneradas.",Paraíba,Rio Tinto
01/08/2022 20:11:40,Concordo,Sim,Masculino,33,Branco(a),Engenheiro de Software,Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",6 anos,4 - Bom,5 - Excelente,2 - Ruim,3 - Mediano(a),3 - Mediano(a),"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência",Residência Pedagógica/PIBID/Prolicen,Mais de 2 horas,Importante,Pouco importante,Importante,Importante,Importante,Importante,Importante,Importante,Muito importante,Pouco importante,Importante,Importante,Importante,Importante,Importante,"Afinidade com a área, boa remuneração futura, mercado promissor",Reformular as disciplinas para alinhar-se com as necessidades do mercado.,Paraíba,Rio Tinto
02/08/2022 00:50:19,Concordo,Sim,Masculino,28,Negro(a),"Professor(a) da Educação Básica, Aluno(a) de pós-graduação (mestrado/doutorado/especialização)",Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",4 anos e meio,4 - Bom,5 - Excelente,5 - Excelente,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Estágio, Monitoria, Residência Pedagógica/PIBID/Prolicen",Menos de 30 minutos,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Pouco importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Pouco importante,Muito importante,,"Atividades de nivelamento para estudantes que sentem dificuldade em Matemática, mais turmas e horários para disciplinas que são obrigatórias. ",Paraíba,Rio Tinto
02/08/2022 09:18:09,Concordo,Sim,Masculino,26,Negro(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",3 anos e meio,4 - Bom,5 - Excelente,4 - Bom,5 - Excelente,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Estágio, Monitoria",Menos de 30 minutos,Muito importante,Muito importante,Pouco importante,Importante,Muito importante,Importante,Muito importante,Importante,Importante,Muito importante,Muito importante,Pouco importante,Muito importante,Muito importante,Muito importante,"Possibilidade de já iniciar no mercado de trabalho, antes de concluir o curso, por tanto sem necessidade do diploma.","Acompanhamento pedagógico individual, no sentido de apoiar os alunos em suas dificuldades durante a graduação.",Paraíba,Rio Tinto
