Carimbo de data/hora,"Considerando o que foi apresentado, você concorda em participar de forma voluntária desta pesquisa?",Você se formou em algum curso PRESENCIAL relacionado a computação?,1. Qual seu sexo?,2. Idade atual,3. Você se auto declara como...,4. Em área(s) você atua hoje?,5. A instituição de ensino superior em que você estudou era...,6. Você concluiu um curso superior presencial de qual tipo?,7. Informe seu curso:,8. Em que turno aconteciam as aulas?,9. Quanto tempo você levou para concluir seu curso (aproximadamente)?,"10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Infraestrutura do seu curso (laboratórios, salas de aula, etc).]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Professores do seu curso]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Conteúdos das disciplinas ofertadas]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Amizades e Networking (oportunidade de fazer novos contatos)]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Trabalhos, atividades e projetos realizados]",11. Qual/Quais dos seguintes auxílios financeiros ou remunerações você recebeu durante a graduação?,12. Selecione as atividades extracurriculares das quais você participou durante sua graduação,13. Quanto tempo você levava para ir de onde você morava até a universidade/faculdade (em média)?,"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [A estrutura do curso (laboratórios, salas de aula, disciplinas).]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Morar próximo da universidade.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bom relacionamento com os colegas do curso.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bons mentores, orientadores ou monitores.]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bons professores.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Trabalhos em grupo.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Meu desempenho no curso.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Participação em projetos de pesquisa, desenvolvimento, ensino, extensão ou estágios.]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bolsas ou auxílios.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Desejo de possuir um diploma universitário.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Influência/Inspiração de profissionais da área.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Possibilidades de morar no exterior.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Mercado de trabalho promissor.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Possibilidade de trabalho remoto.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Apoio de familiares, colegas, professores, amigos, comunidades da área de TI, etc.]","15. Algum outro fator lhe influenciou a concluir seu curso? Se sim, qual ou quais?",16. Que ações você acha que poderiam ser realizadas em cursos superiores de computação para estimular mais alunos a concluírem seus cursos?,17. Em qual estado se localiza a faculdade/universidade/instituto onde você se graduou?,18. Em qual cidade se localiza a faculdade/universidade/instituto onde você se graduou?
02/08/2022 10:29:52,Concordo,Sim,Masculino,21,Pardo(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",4 anos,4 - Bom,5 - Excelente,4 - Bom,4 - Bom,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Projeto de Extensão, Monitoria",Menos de 30 minutos,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Pouco importante,Pouco importante,Importante,Pouco importante,Muito importante,Pouco importante,Muito importante,,"1) Plantões pedagógicos periódicos para tentar auxiliar de alguma forma no planejamento acadêmico, principalmente em disciplinas que possuem um histórico de reprovações e/ou altos índices de notas baixas; 2) Parcerias com a indústria de forma a levar mais estudantes para as empresas um pouco mais cedo (para não existir apenas esse contato somente no final do curso, o que também pode auxiliar em saber se a área de atuação é realmente a que você se identifica ou até tentar encontrar alguma caso ainda não tenha ideia por qual seguir, caso a intenção não seja prosseguir na carreira acadêmica); 3) Apresentações de egressos que estão atuando na área, dando ênfase na trajetória feita durante a graduação até chegar na fase de atuação",Paraíba,Rio Tinto
09/08/2022 22:16:17,Concordo,Sim,Masculino,33,Negro(a),Não atuo mais na área de TI,Universidade/Faculdade Privada,Tecnológo,Gestão da Tecnologia da Informação,Noite,2 anos,4 - Bom,4 - Bom,4 - Bom,5 - Excelente,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Projeto de Extensão, Estágio",De 30 minutos a 1h,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Pouco importante,Importante,Importante,Importante,Sem importância,,"Uma melhor flexibilização das disciplinas iniciais dos cursos, não focando em disciplinas exatas ou programação, mas apresentar outras áreas da TI em geral, para que o aluno desperte interesse e não desista de início. ",Paraíba,João Pessoa
10/08/2022 10:30:32,Concordo,Sim,Masculino,32,Branco(a),"Gestão de Projetos/Product Owner/Líder Técnico, Professor(a) de Ensino Superior, Aluno(a) de pós-graduação (mestrado/doutorado/especialização)",Instituto Federal/Centro Federal de Educação Tecnológica,Licenciatura,Ciência da Computação,"Manhã, Tarde, Noite",5 anos,3 - Mediano(a),5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Pesquisa, Projeto de Extensão, Estágio, Monitoria, Residência Pedagógica/PIBID/Prolicen",Menos de 30 minutos,Importante,Importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Pouco importante,Sem importância,Muito importante,Sem importância,Muito importante,,Auxílio para que eles possam estudar e ter uma vida saudável.,Paraíba,
17/08/2022 15:43:57,Concordo,Sim,Masculino,42,Pardo(a),Professor(a) da Educação Básica,Universidade Pública Federal,Licenciatura,Licenciatura em computação,Noite,4 anos,2 - Ruim,4 - Bom,3 - Mediano(a),2 - Ruim,3 - Mediano(a),"Não recebi nenhuma bolsa, remuneração ou auxílio durante a graduação",Estágio,Mais de 2 horas,Muito importante,Importante,Pouco importante,Muito importante,Muito importante,Pouco importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Pouco importante,Importante,Muito importante,Muito importante,,,,Uberaba
17/08/2022 16:32:55,Concordo,Sim,Feminino,25,Branco(a),Qualidade de Software/Testes,Universidade Pública Federal,Licenciatura,Ciência da Computação,Manhã,5 anos,4 - Bom,5 - Excelente,3 - Mediano(a),5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Projeto de Extensão",Menos de 30 minutos,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,A vontade de terminar,Estimular mais a parte de configuração,Paraíba,Rio Tinto
17/08/2022 16:34:28,Concordo,Sim,Masculino,24,Negro(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",4 anos e meio,4 - Bom,5 - Excelente,4 - Bom,3 - Mediano(a),5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência",Projeto de Extensão,Menos de 30 minutos,Importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Pouco importante,Pouco importante,Pouco importante,Muito importante,Pouco importante,Muito importante,,,Paraíba,Rio Tinto
17/08/2022 16:36:28,Concordo,Sim,Feminino,30,Pardo(a),Qualidade de Software/Testes,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",4 anos,3 - Mediano(a),5 - Excelente,4 - Bom,4 - Bom,4 - Bom,Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato),"Projeto de Extensão, Estágio",De 1 hora a 2 horas,Importante,Não sei ou não desejo opinar,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Pouco importante,Muito importante,Muito importante,Muito importante,"O apoio e colaboração dos professores em projetos, atividades e o feedback sobre cada passo que estávamos dando. Os docentes que fizeram parte dos nossos componentes curriculares influenciavam de forma indireta pois, eram dominantes do conhecimento que tinham e a maioria tinha uma didática excelente!",Acho que o estímulo é algo interno que está atrelado ao desejo de crescer em algo. Um estímulo que considero importante são exemplos de pessoas que tiveram sucesso na carreira e que passaram pelo mesmo processo e pelo mesmo lugar que os atuais estudantes se encontram.,Paraíba,Rio Tinto
17/08/2022 16:37:35,Concordo,Sim,Masculino,31,Negro(a),Professor(a) da Educação Básica,Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",6 anos e meio,4 - Bom,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Extensão, Residência Pedagógica/PIBID/Prolicen",Menos de 30 minutos,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,"Não, todos já foram citados anteriormente ",Incentivo de estágios remunerados em empresas parceiras.,Paraíba,Rio Tinto
17/08/2022 16:43:37,Concordo,Sim,Masculino,25,Branco(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",4 anos e meio,4 - Bom,4 - Bom,4 - Bom,5 - Excelente,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Pesquisa, Projeto de Extensão, Estágio, Residência Pedagógica/PIBID/Prolicen",Menos de 30 minutos,Importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Não,"Parcerias com empresas privadas, com o objetivo de oferecer oportunidade de estágio e capacitação com remuneração para os alunos.",Paraíba,Rio tinto
17/08/2022 17:01:36,Concordo,Sim,Masculino,30,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Qualidade de Software/Testes, Analista de TI",Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",6 anos,3 - Mediano(a),5 - Excelente,5 - Excelente,3 - Mediano(a),5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência",Monitoria,De 30 minutos a 1h,Muito importante,Muito importante,Pouco importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Muito importante,Muito importante,Muito importante,Sem importância,,Mais oportunidades de vínculo com empresas particulares.,Paraíba,Rio Tinto
17/08/2022 17:07:09,Concordo,Sim,Masculino,31,Pardo(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",6 anos,4 - Bom,5 - Excelente,4 - Bom,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Pesquisa, Estágio, Monitoria",De 1 hora a 2 horas,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Importante,Não sei ou não desejo opinar,,"Reduzir a carga horária das disciplinas de matemática de alta complexidade não tão aplicáveis do dia-a-dia da maioria dos profissionais de TI, ou acadêmicos, e enfatizar disciplinas como estatística, bastante utilizável para pesquisa científica e ciência de dados, e IA, por exemplo.",Paraíba,Rio Tinto
17/08/2022 17:39:46,Concordo,Sim,Feminino,27,Pardo(a),Aluno(a) de pós-graduação (mestrado/doutorado/especialização),Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,5 - Excelente,5 - Excelente,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Projeto de Extensão, Monitoria, Residência Pedagógica/PIBID/Prolicen",Menos de 30 minutos,Muito importante,Importante,Importante,Muito importante,Muito importante,Importante,Importante,Importante,Importante,Importante,Importante,Pouco importante,Muito importante,Muito importante,Importante,,,Paraíba,Rio Tinto
17/08/2022 18:40:10,Concordo,Sim,Feminino,34,Branco(a),Cientista/Engenheiro de Dados,Universidade/Faculdade Privada,Bacharelado,Ciência da Computação,Noite,5 anos,5 - Excelente,4 - Bom,4 - Bom,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Pesquisa, Estágio",De 30 minutos a 1h,Muito importante,Pouco importante,Muito importante,Importante,Muito importante,Pouco importante,Muito importante,Importante,Importante,Muito importante,Sem importância,Muito importante,Muito importante,Muito importante,Muito importante,,,Rio Grande do Sul,Porto Alegre
17/08/2022 19:21:30,Concordo,Sim,Masculino,31,Pardo(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Sistemas de Informação,Noite,Mais de 7 anos,4 - Bom,5 - Excelente,4 - Bom,3 - Mediano(a),4 - Bom,Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato),Estágio,De 30 minutos a 1h,Importante,Pouco importante,Sem importância,Pouco importante,Muito importante,Importante,Importante,Pouco importante,Sem importância,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Pouco importante,,,Bahia,Salvador
17/08/2022 19:42:50,Concordo,Sim,Masculino,40,Branco(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico",Universidade/Faculdade Privada,Bacharelado,Sistemas de Informação,Noite,6 anos e meio,4 - Bom,5 - Excelente,4 - Bom,3 - Mediano(a),3 - Mediano(a),"Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato), FIES",Monitoria,Menos de 30 minutos,Importante,Muito importante,Pouco importante,Sem importância,Muito importante,Sem importância,Importante,Não sei ou não desejo opinar,Importante,Muito importante,Muito importante,Sem importância,Muito importante,Sem importância,Importante,A melhor forma de entrar no mercado de trabalho. Desejo pessoal de concluir o ensino superior.,Palestras com profissionais da área para compartilhar as histórias deles. Criar mais pontes com o mercado.,Bahia,Salvador
17/08/2022 19:53:05,Concordo,Sim,Masculino,22,Negro(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Qualidade de Software/Testes",Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde, Noite",4 anos e meio,3 - Mediano(a),5 - Excelente,4 - Bom,5 - Excelente,5 - Excelente,"Não recebi nenhuma bolsa, remuneração ou auxílio durante a graduação","Projeto de Extensão, Estágio",De 1 hora a 2 horas,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Não sei ou não desejo opinar,Muito importante,Pouco importante,Importante,Muito importante,Muito importante,Muito importante,Cela especial,"Reduzir a quantidade infinita de estágios. Não é necessário 4 estágios, apesar que grande maioria ou todos os alunos coloquem que o estágio foi importante, visto que caso não coloquem isto, corre o risco de reprovar a disciplina, atrasando a graduação ainda mais.",Paraíba,Rio TInto
17/08/2022 20:06:33,Concordo,Sim,Masculino,37,Branco(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade/Faculdade Privada,Tecnológo,Análise e Desenvolvimento de Sistemas,Noite,Mais de 7 anos,3 - Mediano(a),3 - Mediano(a),3 - Mediano(a),2 - Ruim,3 - Mediano(a),"Não recebi nenhuma bolsa, remuneração ou auxílio durante a graduação",Não participei de nenhuma atividade extracurricular,De 30 minutos a 1h,Muito importante,Pouco importante,Pouco importante,Muito importante,Muito importante,Importante,Muito importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Situações pessoais que me levaram a querer concluir meu curso o mais rápido possível,Incentivo à estudos direcionados com foco no mercado de trabalho. Apoio em estágios de trabalho com participação de boas empresas de ti.,Rio de Janeiro,Nova Friburgo
17/08/2022 20:42:04,Concordo,Sim,Feminino,31,Branco(a),Qualidade de Software/Testes,Universidade Pública Federal,Bacharelado,Sistemas de Informação,Noite,Mais de 7 anos,2 - Ruim,5 - Excelente,4 - Bom,5 - Excelente,4 - Bom,Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato),"Projeto de Pesquisa, Projeto de Extensão, Estágio",Menos de 30 minutos,Pouco importante,Muito importante,Muito importante,Sem importância,Importante,Pouco importante,Muito importante,Muito importante,Não sei ou não desejo opinar,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,,,Bahia,Salvador
17/08/2022 21:23:52,Concordo,Sim,Masculino,29,Branco(a),Aluno(a) de pós-graduação (mestrado/doutorado/especialização),Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",6 anos,4 - Bom,4 - Bom,3 - Mediano(a),3 - Mediano(a),4 - Bom,"Não recebi nenhuma bolsa, remuneração ou auxílio durante a graduação","Projeto de Extensão, Estágio, Grupo de desenvolvimento de jogos",Mais de 2 horas,Muito importante,Importante,Importante,Muito importante,Importante,Pouco importante,Importante,Muito importante,Não sei ou não desejo opinar,Importante,Pouco importante,Importante,Importante,Sem importância,Muito importante,"A ajuda financeira que tive de meus pais foi fundamental, tive a chance de somente estudar sem trabalhar. Embora isso possa ter me afetado por não conseguir experiência fora da área acadêmica, foi muito importante pra conseguir me formar.","Políticas de permanência são fundamentais para alunos que precisam de auxílio financeiro. Mais instruções e divulgação sobre estágios, projetos de pesquisa (iniciação científica) ou de extensão também são fundamentais. Digo por experiência própria porque demorei demais em saber que essas atividades de pesquisa existiam para incluírem alunos de graduação na época. Por fim, apoio psicológico gratuito e acessível aos alunos de graduação é mais do que fundamental. Eu não tive acesso, tendo que procurar por fora.",Rio de Janeiro,Cidade universitária
17/08/2022 23:26:23,Concordo,Sim,Masculino,28,Negro(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, DevOps/Suporte Técnico/Técnico de Infraestrutura de TI/Gerente de Redes",Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Tarde, Noite",Mais de 7 anos,3 - Mediano(a),5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato),Estágio,De 1 hora a 2 horas,Pouco importante,Pouco importante,Sem importância,Importante,Importante,Pouco importante,Importante,Pouco importante,Importante,Não sei ou não desejo opinar,Pouco importante,Muito importante,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Importante,Ascenção social,"Horários flexíveis de aulas e monitorias, maior oferta de disciplinas em horários variados",Bahia,Salvador
18/08/2022 09:40:13,Concordo,Sim,Masculino,29,Negro(a),Aluno(a) de pós-graduação (mestrado/doutorado/especialização),Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",5 anos e meio,5 - Excelente,5 - Excelente,4 - Bom,5 - Excelente,5 - Excelente,"Não recebi nenhuma bolsa, remuneração ou auxílio durante a graduação",Não participei de nenhuma atividade extracurricular,De 1 hora a 2 horas,Muito importante,Sem importância,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Sem importância,"Interesse pela área, crescimento profissional ","Parcerias com empresas, maratonas internas de programação ",Paraíba,Rio Tinto
18/08/2022 11:35:24,Concordo,Sim,Masculino,26,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Aluno(a) de pós-graduação (mestrado/doutorado/especialização)",Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",4 anos e meio,4 - Bom,4 - Bom,3 - Mediano(a),4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Estágio, Monitoria, Residência Pedagógica/PIBID/Prolicen",Menos de 30 minutos,Importante,Muito importante,Importante,Importante,Importante,Pouco importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Sem importância,Muito importante,Pouco importante,Muito importante,,Ajuste no calendário e na mentalidade de alguns professores para possibilitar/ajudar alunos a estudarem e trabalharem pois muitos precisam do dinheiro do trabalho para se manter no curto.,Paraíba,Rio tinto
18/08/2022 19:40:54,Concordo,Sim,Masculino,29,Negro(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",4 anos e meio,4 - Bom,5 - Excelente,5 - Excelente,4 - Bom,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Estágio, Monitoria, Residência Pedagógica/PIBID/Prolicen",De 1 hora a 2 horas,Muito importante,Muito importante,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Muito importante,Importante,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Não sei ou não desejo opinar,,,Paraíba,Rio Tinto
19/08/2022 11:39:37,Concordo,Sim,Masculino,24,Pardo(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Ciência da Computação,"Tarde, Noite",5 anos,4 - Bom,5 - Excelente,3 - Mediano(a),4 - Bom,3 - Mediano(a),"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria",De 30 minutos a 1h,Muito importante,Sem importância,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Muito importante,Muito importante,Muito importante,Muito importante,,"Alguma forma de mostrar mais como é o ""mundo real"" no comércio dessa área, como são os trabalhos em equipe, familiarizar com as linguagens mais comerciais, familiarizar com as estruturações de projetos etc.",Mato Grosso do Sul,Ponta Porã
21/08/2022 06:43:46,Concordo,Sim,Masculino,24,Negro(a),Qualidade de Software/Testes,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",4 anos e meio,3 - Mediano(a),5 - Excelente,4 - Bom,5 - Excelente,5 - Excelente,"Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato), Não recebi nenhuma bolsa, remuneração ou auxílio durante a graduação","Projeto de Pesquisa, Estágio, Monitoria",Menos de 30 minutos,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Não sei ou não desejo opinar,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,,Aumentar o contato do curso com o mercado de trabalho.,Paraíba,Rio tinto
22/08/2022 11:02:24,Concordo,Sim,Feminino,33,Pardo(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",5 anos,4 - Bom,5 - Excelente,4 - Bom,4 - Bom,3 - Mediano(a),"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria",Menos de 30 minutos,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,,"Ter uma lista de locais onde os alunos poderiam estagiar, na minha época ao menos, não existia, o que trazia muitos problemas para quem precisava se formar e não tinha conhecimento de empresas e nem dinheiro para ir ficar caçando empresas e entregando currículo.",Paraíba,Rio Tinto
31/08/2022 21:56:11,Concordo,Sim,Feminino,30,Branco(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Analista de TI",Universidade Pública Federal,Licenciatura,Ciência da Computação,Manhã,6 anos,4 - Bom,5 - Excelente,4 - Bom,5 - Excelente,5 - Excelente,"Não recebi nenhuma bolsa, remuneração ou auxílio durante a graduação",Monitoria,Menos de 30 minutos,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Objetivo de uma carreira profissional,Aulas dinâmicas na programação,Paraíba,Rio Tinto
09/09/2022 16:07:10,Concordo,Sim,Masculino,40,Branco(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",4 anos,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, PET",Menos de 30 minutos,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Importante,Pouco importante,Muito importante,Pouco importante,Importante,,,Paraíba,Campina Grande
09/09/2022 16:12:34,Concordo,Sim,Masculino,39,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Cientista/Engenheiro de Dados",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,5 - Excelente,5 - Excelente,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Pesquisa, Estágio, Monitoria",Menos de 30 minutos,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Importante,Pouco importante,Muito importante,Importante,Sem importância,Sem importância,,,Paraíba,Campina Grande
09/09/2022 16:35:24,Concordo,Sim,Masculino,29,Branco(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico, Qualidade de Software/Testes",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Projeto de Extensão, Monitoria",Menos de 30 minutos,Muito importante,Importante,Importante,Importante,Muito importante,Importante,Importante,Muito importante,Importante,Pouco importante,Importante,Pouco importante,Importante,Importante,Importante,Afinidade com o tema,Tentar disponibilizar mais disciplinas práticas no inicio mostrando possibilidades de trabalho futuros,Paraíba,Campina Grande
